file_name,referent,direction,np,pronoun,intervening,ld_text,verb_phrase_text,np_text,pronoun_text,intervening_text,previous_cu,cu,next_cu,narrative,ld_count,cu_count
USbi86FG_isE.exb,man,np_first,simple,personal,0,walking this guy he was,walking this guy he was with his family you,walking this guy he,guy he was,walking this guy he was,u:m i was i just went to the supermarket to go get something,and as i was walking this guy he was with his family you know dribbling a basketball or a soccer ball,i=m not sure which ball it was,(-) hey sophia u:m i was i just went to the supermarket to go get something and as i was walking this guy he was with his family you know dribbling a basketball or a soccer ball i=m not sure which ball it was (-) and um (-) he dropped it in the street and this really funny thing happened the dog went to go chase it (-) and then she pulled the owner and she dropped all her groceries on the m/ floor (-) but then (-) the sad part was that there=s a car accident right after that because the g/ (-) dog ran into the street abruptly you know (-) and um (-) [tongueclicking] so now you know we have a car accident we have a dog running in the street we have (-) all her groceries on the floor it=s kinda funny (-) anyways yeah (-) [laughing] (-),1,15
USbi85MG_fsE.exb,man,np_first,simple,personal,0,the the person he was,the the person he was dribbling the ball (-),the the person he,person he was,the the person he was,(-),and one and the the person he was dribbling the ball,(-),(-) hello how are you (-) i=m calling in uh regard to case ef sixteen (-) i was a witness at the accident i just wanted to report what i saw (-) i saw: (-) a um (-) this this couple walkin down the street with a ball (-) and one and the the person he was dribbling the ball (-) and across street (-) there was a woman (-) with a dog who which the dog was admiring the ball (-) s:o there were these two cars coming along (-) in th/ in the um (-) in the parking lot and all of a sudden by accident the guy let the ball go (-) and the dog chased it into the middle of the street (-) so the person driving stopped suddenly to avoid hitting the dog (-) and and the driver behind him (-) hit him from the back (-) so i just wanted to report that um (-) this accident was (-) was uh not anybody it was actually the persons: the persons fault who was carrying the ball (-) but the driver wanted uh avoid the dog so uh he stopped shortly and the person behind him hit him (-) thank you,1,17
USbi67MG_isE.exb,man,np_first,preposition,personal,1,and the guy with the ball (-) the ball he=s,and the guy with the ball (-) the ball he=s like (-) bouncing it and,and the guy with the ball (-),ball he=s,ball (-) the ball he=s,(-),u:m (-) and the guy with the ball (-) the ball he=s like (-) bouncing it,and the ball hits his foot,(--) so: (-) these two people are walking (-) with a stroller and one of them is bouncing a: (-) ball of sort i think a soccer ball (--) and there are these two cars driving in a parking lot (-) u:m (-) and the guy with the ball (-) the ball he=s like (-) bouncing it and the ball hits his foot and it rolls in front of one of the cars (-) so the front car stops as like fast as it can (-) and the back car tries to stop (-) but (-) it hits: (-) the first car (-) [tongueclicking] and so: (--) the person in the front car gets out and then the person in the back car (--) gets out and then one of them calls (-) nine one one (--) and yeah (-),1,14
USbi75MG_isE.exb,couple,np_first,coordination,personal,0,accident this guy: (-) uh and his (-) girlfriend they were,accident this guy: (-) uh and his (-) girlfriend they were walking down a street and,accident this guy: (-) uh and his (-) girlfriend they,girlfriend they were,accident this guy: (-) uh and his (-) girlfriend they were,okay so i was: (-) walking down the street,and i saw this car accident,this guy: (-) uh and his (-) girlfriend they were walking down a street,(-) [coughing] (-) okay so i was: (-) walking down the street and i saw this car accident this guy: (-) uh and his (-) girlfriend they were walking down a street and he was holding this ball (-) an(d) (-) he let go of it an(d) ran to the street (-) an(d) it scared this dog across the street (-) which ran (-) in and like (-) it (-) there was this driver coming down (-) he stopped his car (-) a car in the back smashed into it (-) so there=s like this car accident going on here (-) u:m (-) yeah and i was just sitting here an(d) watching the whole thing (-) u:m and then the woman just goes back to putting her groceries in a ba:g and with her dog (-) u:h so that coulda been (-) a problem hopefully they got everything cleared up (-) hopefully u:h (-) they explained what happened (-) i would say it=s (-) u:m (-) yeah i don=t know whose fault it was but (-) the: (-) the guy with the (-) soccer ball probably shoulda been paying a little more attention (-) um (-) to the whole situation (-),1,19
USbi64FG_isE.exb,man,np_first,preposition,personal,0,and the guy with his family he had,and the guy with his family he had a ball and,and the guy with his family he,family he had,and the guy with his family he had,(-),and the guy with his family he had a ball,and he was kinda bouncing it,so: (-) i was walking: in a parking lot (-) a:nd (-) there were thes:e two cars that were coming in (-) to try and park (-) and at the same time walking in there was this guy: (-) with his wife and a kid in a stroller (-) and then there was another lady like right across from them (-) and she was trying to put her groceries in the car: (-) and the guy with his family he had a ball and he was kinda bouncing it (-) and then: (-) it fell onto the road (-) so the two cars that were coming they were like in the way (-) so the first car braked (-) but the guy behind him (-) didn=t see like the ball (-) er and didn=t know that the guy in front of him was gonna brake (-) so: (-) he pretty much like crashed into him (-) to the guy in front of him (-) a:nd yeah both of the guys got out they kind of talked and then: they had to call the cops (-) and then (-) while all this was happening like a woman=s dog almost got hit (-) too (-) so yeah it was crazy,2,18
USbi64FG_isE.exb,cars,np_first,preposition,personal,0,so the two cars that were coming they were,so the two cars that were coming they were like in the way (-),so the two cars that were coming they,coming they were,so the two cars that were coming they were,(-),so the two cars that were coming they were like in the way,(-),so: (-) i was walking: in a parking lot (-) a:nd (-) there were thes:e two cars that were coming in (-) to try and park (-) and at the same time walking in there was this guy: (-) with his wife and a kid in a stroller (-) and then there was another lady like right across from them (-) and she was trying to put her groceries in the car: (-) and the guy with his family he had a ball and he was kinda bouncing it (-) and then: (-) it fell onto the road (-) so the two cars that were coming they were like in the way (-) so the first car braked (-) but the guy behind him (-) didn=t see like the ball (-) er and didn=t know that the guy in front of him was gonna brake (-) so: (-) he pretty much like crashed into him (-) to the guy in front of him (-) a:nd yeah both of the guys got out they kind of talked and then: they had to call the cops (-) and then (-) while all this was happening like a woman=s dog almost got hit (-) too (-) so yeah it was crazy,2,18
USbi73FG_iwE.exb,man,np_first,simple,personal,0,"was the father , he was","was the father , he was tribbling a soccer ball and","was the father ,",", he was","was the father , he was",cu,cu,cu,"melisaaa . I decided to take a walk , and as I was walking , there was a little family walking , Im assuming it was the father , he was tribbling a soccer ball and as he was crossing the street , he accidentally kicked the ball , 2 cars were pulling up , one stopped to avoid the ball , and the other one in back hits the bumper of the car in front , with all that happening , a lady is putting away groceries in.her trunk , she had her dog on a leash , when the ball started rolling , the dog ran off to get it , and the lady kicked her groceries out of the bag , the man with the soccer ball ran after to help the lady retrieve her run away groceries , the 2 guys come out of there car to see the damages made , then one calls.911 . I honestly freaked out .",1,14
USbi01FG_isE.exb,driver1,np_first,preposition,personal,1,fir/ the the the driver of the first car when he came o:ut (-) instead of first checking on the: (-) driver from the second car (-) he looked,fir/ the the the driver of the first car when he came o:ut (-) instead of first checking on the: (-) driver from the second car (-) he looked in front of his car to make sure like he didn't hit anything (-),fir/ the the the driver of the first car when,(-) he looked,car when he came o:ut (-) instead of first checking on the: (-) driver from the second car (-) he,(-),bu:t h/ i found it interesti:ng (-) tha:t (-) u:m the fir/ the the the driver of the first car when he came o:ut (-) instead of first checking on the: (-) driver from the second car (-) he looked in front of his car to make sure like he didn't hit anything,(-),(-)p hey eleni: it=s USbi01FG (-) hey USbi01FG (-) do you have a sec to cha:t (-) yeah okay you/ (-) o:h so remember the other day you called me when something crazy happened to you and the car and that crazy guy listen to this (-) so i=m (like) i=m standing here just waiting a:nd i see: (-) a minor accident happen in the end everyone=s ok which is really what matters but [tongueclicking] (-) u:m (-) there was like one or/ one of two reasons uh uh why it (-) happened and i think just the front (-) the first driver was no:t (-) u:m (-) as vigilant as he should have been perhaps (-) so it was either because (-) the: this guy was playing with his soccer ball and he was careless and he kicked it into the ro:ad (-) or the other reason is beca:use (-) uh perhaps (-) there was this do:g and the dog looked like he was running in front of the car (-) but then that first car stopped (-) and i kno:w that (-) u:m (-) they=re fine beca:use (-) when after the second car hit him: (--) u:m (-) they both got o:ut and were like chatti:ng (-) and they were both able to get out of their car so it was a pretty minor accident (-) bu:t h/ i found it interesti:ng (-) tha:t (-) u:m the fir/ the the the driver of the first car when he came o:ut (-) instead of first checking on the: (-) driver from the second car (-) he looked in front of his car to make sure like he didn't hit anything (-) and i found that really interesting cause i i think the best thing someone can do when there=s an accident i:s (-) always make sure everyone=s okay (-) that=s like the number one thing and then check your own damage which is what this driver did (-) and then i saw them on the pho:ne (-) so i=m sure they called (-) u:m: (-) for the police to make a report (-) and the guy who: kicked the soccer ball checked on them too and they seemed fine (--),1,23
USbi03MG_isE.exb,woman2,pronoun_first,preposition,personal,0,a:nd she the girl with the groceries had,a:nd she the girl with the groceries had a little puppy (-),she the girl with the groceries had,a:nd she the,a:nd she the girl with the groceries had,(-),a:nd she the girl with the groceries had a little puppy,(-),(--) hey so check this out u:m i was standing in the street corner i was standing: at a park a:nd there was (-) apparently a guy and a girl on one side of the road (-) a:nd a lady packing groceries on the other side of the road (-) a:nd she the girl with the groceries had a little puppy (-) a:nd the guy and the girl that was on the other side of the street (-) they proceeded to start crossing across the street (-) and that guy had a ball and he dropped his ball and it started going towards the middle of the street (--) um a:nd as the ball like landed like in the middle of the street (-) the puppy uh saw this and got very excited and then also started running into: the street (--) the same time there=s also these two guys speeding down: (-) this like car park that we were standing in (-) a:nd the one first car actually saw what was going on and he slammed on the brakes but the other guy wasn=t quick enough (-) a:nd cause he was following too closely and he ended up giving it to him (--) [laughs],2,18
USbi03MG_isE.exb,couple,np_first,preposition,personal,0,a:nd the guy and the girl that was on the other side of the street (-) they proceeded,a:nd the guy and the girl that was on the other side of the street (-) they proceeded to start crossing across the street (-),a:nd the guy and the girl that was on the other side of the street (-),(-) they proceeded,a:nd the guy and the girl that was on the other side of the street (-) they proceeded,(-),a:nd the guy and the girl that was on the other side of the street (-) they proceeded to start crossing across the street,(-),(--) hey so check this out u:m i was standing in the street corner i was standing: at a park a:nd there was (-) apparently a guy and a girl on one side of the road (-) a:nd a lady packing groceries on the other side of the road (-) a:nd she the girl with the groceries had a little puppy (-) a:nd the guy and the girl that was on the other side of the street (-) they proceeded to start crossing across the street (-) and that guy had a ball and he dropped his ball and it started going towards the middle of the street (--) um a:nd as the ball like landed like in the middle of the street (-) the puppy uh saw this and got very excited and then also started running into: the street (--) the same time there=s also these two guys speeding down: (-) this like car park that we were standing in (-) a:nd the one first car actually saw what was going on and he slammed on the brakes but the other guy wasn=t quick enough (-) a:nd cause he was following too closely and he ended up giving it to him (--) [laughs],2,18
USbi09MG_iwE.exb,man,np_first,preposition,personal,0,a guy with a ball and a lady pushibg a stroller he lost,a guy with a ball and a lady pushibg a stroller he lost the ball two,a guy with a ball and a lady pushibg a stroller he,stroller he lost,a guy with a ball and a lady pushibg a stroller he lost,cu,cu,cu,a guy with a ball and a lady pushibg a stroller he lost the ball two cars collided to avoid running him over startled the dog in which the dog jerked and the lady lost her groceries the guy with the ball went to help her gather groceries while the two guys that crashed got out to see how much damage was caused to their cars inwhich one of the guys called 911,1,8
USbi50FR_isE.exb,couple,np_first,coordination,personal,0,(-) the guy and his wife they=r:e,(-) the guy and his wife they=r:e starting to cross the parking lot (-),(-) the guy and his wife they=r:e,wife they=r:e,(-) the guy and his wife they=r:e,(-),anyway so (-) the guy and his wife they=r:e starting to cross the parking lot,(-),(-) hey what=s up so i just saw a car accident that happened on a parking lot and no one was hurt but anyway (-) u:m (-) so there was this lady unloading her l/ groceries from her trunk I guess and she had a dog with her a:nd meanwhile on the other side of the parking lot there=s this gu:y (-) who=s bouncing a ball on the sidewalk and he has i think (-) his wife with him and she was pushing a stroller (-) anyway so (-) the guy and his wife they=r:e starting to cross the parking lot (-) a:nd at the same time two cars are pulling in like one=s directly after the other and as (-) the guy is crossing the street he drops the ball and it starts rolling in front of the first car and (-) the dog i/ like (-) jumps out of the woman=s hands and runs towards the ball so t/ (-) there=s chaos and she drops her (-) groceries there=s like apples [laughing] all over the parking lot (-) a:nd (-) the first car: (-) stops really abruptly so it doesn=t hit the dog (-) and the second car doesn=t have enough time to react so it crashes into the rear of the first one (-) a:nd (-) yeah no one was hurt though but the (-) two drivers came out and (-) called nine one one as the: (-) guy helped the woman pick her stuff up so [tongueclicking] yeah (--),1,28
USbi53MR_fsE.exb,woman2,np_first,preposition_relative,partitive,0,(-) the woman across the parking lot u:m who was putting away the groceries her dog dashed,(-) the woman across the parking lot u:m who was putting away the groceries her dog dashed after the ball (-),(-) the woman across the parking lot u:m who was putting away the groceries her,groceries her dog dashed,(-) the woman across the parking lot u:m who was putting away the groceries her dog dashed,(-),and u:m (-) the woman across the parking lot u:m who was putting away the groceries,her dog dashed after the ball,(-) hello i=m calling about case number ef sixteen a minor traffic incident (-) u:m (-) i was walking along the street (-) u:h next to a parking lot in front of a (-) giant striped building (-) um i saw a man with his wife walking with his wife (-) he was tossing (around) a ball and she was (-) pushing a baby carriage (-) and u:h c/ (-) across the parking lot (-) uh was a woman taking groceries out of her car (-) and she had a small dog on a leash (-) u:m (-) in the distance you could see (-) a: blue car and a white car approaching the blue car was ahead of the white car (-) u:m (-) [gulping] the man and his wife u:m (-) turned to cross the parking lot (-) u:h when the man threw his ball down (-) and it bounced off the curb across the parking lot (-) and u:m (-) the woman across the parking lot u:m who was putting away the groceries her dog dashed after the ball (-) and uh pulled on the: leash so hard that she dropped all of her groceries (-) and the driver of the blue car uh saw this and he (-) immediately stopped (-) u:m but the car behind him (-) uh was not able to stop so quickly and (-) eh hit him in the back bumper (-) uh: the man with the ball a/ actually helped the lady pick up her groceries first (-) u:m (-) and both drivers exited their vehicles (-) uh the one from the blue car made sure to check everyone was okay before starting to discuss (-) the incident with the man from the white car (-) and um (-) once the uh man with the ball helped to (-) help(ed) the lady to pick up her groceries (-) he uh went around and joined the discussion of the two drivers (-) and the um (-) the driver from the blue car (-) called the police (--),1,26
